collision_events_mean,collision_free_success_mean,command_acc_rms_mps2_mean,command_active_fraction_mean,command_jerk_p95_mps3_mean,experiment,maze_type,min_clearance_m_mean,n,path_efficiency_mean,role,scenario,timeout_penalized_s_mean,turn_response_penalized_s_mean
0.2125,0.45,5.094362390142373,1.0,42.76051433968443,duration,all,0.4500275034457445,80,0.5110796937234536,baseline,all,12.552457785362346,5.391531895999867
0.0,0.6,3.3334177792509614,1.0,18.053927816088297,duration,1,0.5124130606651306,10,0.648864931058933,variant,straight,11.79138,0.727889
0.0,0.6,3.097986410276035,1.0,14.899673426344268,duration,2,0.6563555553555489,10,0.6961935462809098,variant,straight,11.310479999999998,3.9567000000000005
0.0,0.3,3.2895182099055256,1.0,17.94230541237694,duration,5,0.4153878055512905,10,0.46939045664767304,variant,straight,16.46636,4.133565
0.1,0.8,3.0298618355884868,1.0,15.442701369645738,duration,7,0.7762849688529968,10,0.6558627810093933,variant,straight,10.72784,1.293854
0.025,0.575,3.1876960587552525,1.0,16.58465200611381,duration,all,0.5901103476062417,40,0.6175779287492272,variant,straight,12.574015,2.528002
0.0,0.7,3.7320870951248653,1.0,18.377839757638178,duration,1,0.5361748814582825,10,0.39655930495956115,variant,dynamic,11.908769627098977,5.076729475898848
0.0,0.8,3.3688540203119572,1.0,14.633308493065849,duration,2,1.2369898319244386,10,0.650945097140596,variant,dynamic,7.244550464500802,5.775941272199763
0.0,0.2,3.515951664783986,1.0,18.71354758148987,duration,5,0.7092778027057648,10,0.30025449352997663,variant,dynamic,15.906197117198776,4.81230756549937
0.0,0.4,3.1721331043054373,1.0,15.367286285353524,duration,7,0.6571023687720299,10,0.3667476532283062,variant,dynamic,14.19415923600053,6.913415315799858
0.0,0.525,3.447256471131561,1.0,16.772995529386854,duration,all,0.7848862212151289,40,0.42862663721461003,variant,dynamic,12.313419111199773,5.64459840734946
0.0,0.65,3.532752437187913,1.0,18.215883786863238,duration,1,0.5242939710617065,20,0.5227121180092469,variant,all,11.850074813549488,2.902309237949424
0.0,0.7,3.2334202152939966,1.0,14.766490959705058,duration,2,0.9466726936399936,20,0.6735693217107528,variant,all,9.277515232250401,4.866320636099883
0.0,0.25,3.402734937344756,1.0,18.327926496933408,duration,5,0.5623328041285276,20,0.38482247508882483,variant,all,16.18627855859939,4.472936282749685
0.05,0.6,3.1009974699469627,1.0,15.404993827499629,duration,7,0.7166936688125134,20,0.5113052171188498,variant,all,12.460999618000265,4.10363465789993
0.0125,0.55,3.3174762649434073,1.0,16.678823767750334,duration,all,0.6874982844106853,80,0.5231022829819186,variant,all,12.443717055599887,4.08630020367473
