arrival_s,arrived,clearance_p05_m,collision_events,collision_free_success,collision_samples,command_acc_peak_mps2,command_acc_rms_mps2,command_active_fraction,command_jerk_p95_mps3,command_jerk_rms_mps3,condition,duration_s,experiment,final_error_m,lane_order,map_seed,max_speed_mps,maze_type,mean_speed_mps,min_clearance_m,model,path_efficiency,path_length_m,role,scenario,source,timeout_penalized_s,turn_response_penalized_s,turn_response_s,valid_start
7.1513,True,0.8395952880382538,0,True,0,10.405062399594861,4.30887039867974,1.0,14.280496680918684,8.580630087253011,maze1_seed1_dynamic.json,7.14002,geometry,1.0080460244863036,normal,1,6.1104451362524665,1,4.227723701541921,0.7483315467834473,single_fixed,0.5763637046195939,30.185850149424606,baseline,dynamic,maze1_seed1_dynamic.json,7.1513,7.151299999999999,,True
4.4963,True,0.8200000166893006,0,True,0,7.88043857099253,4.813901961287695,1.0,36.80521589576706,17.76270294648177,maze1_seed1_dynamic.json,4.4900400000000005,geometry,0.9967013099621672,normal,1,7.20656202755026,1,5.509029113994974,0.800000011920929,minco_fixed,0.6556794311305675,24.735603671129077,variant,dynamic,maze1_seed1_dynamic.json,4.4963,4.4963,,True
7.1145,True,0.8332291841506958,0,True,0,10.288761584221966,4.287829377517687,1.0,14.254313479118627,8.400001169690363,maze1_seed1_dynamic.json,7.1,geometry,1.008109709269565,swapped,1,6.109563034009985,1,4.2320119616610015,0.7549834847450256,single_fixed,0.5792480842109414,30.047155333667035,baseline,dynamic,maze1_seed1_dynamic_swapped.json,7.1145,7.1145,,True
4.4106,True,0.9000000357627869,0,True,0,7.282467188812611,4.706604213980536,1.0,34.868547845151014,16.839007325271368,maze1_seed1_dynamic.json,4.410019999999999,geometry,0.9976780194615971,swapped,1,7.208540619904917,1,5.512274673043173,0.800000011920929,minco_fixed,0.666738262500665,24.30915575261525,variant,dynamic,maze1_seed1_dynamic_swapped.json,4.4106,4.4106,,True
10.4677,True,0.6188435524702072,0,True,0,9.58751664138602,2.8366592036962115,1.0,17.028987414501703,9.11341295954011,maze1_seed1_straight.json,10.46001,geometry,0.9985592047539164,normal,1,5.885651055325913,1,2.7856189015099027,0.5,single_fixed,0.6864000680421195,29.137528580103012,baseline,straight,maze1_seed1_straight.json,10.4677,0.21622,0.21622,True
4.3649,True,0.800000011920929,0,True,0,18.281547483123184,6.3224253504651236,1.0,38.10331321190426,25.80892939345434,maze1_seed1_straight.json,4.34998,geometry,1.0108581955740794,normal,1,6.390660080308474,1,4.557611126541652,0.7000000476837158,minco_fixed,1.0,19.825504343432552,variant,straight,maze1_seed1_straight.json,4.3649,0.19174,0.19174,True
10.6916,True,0.5916079878807068,0,True,0,9.479789466335864,2.7834560145353966,1.0,16.138543765420653,8.937065203858658,maze1_seed1_straight.json,10.680010000000001,geometry,1.00114066065103,swapped,1,5.883534713053339,1,2.750162206922745,0.5,single_fixed,0.6809284175762733,29.371665337674436,baseline,straight,maze1_seed1_straight_swapped.json,10.6916,0.1745,0.1745,True
4.4485,True,0.800000011920929,0,True,0,18.268163352707948,6.207827771982588,1.0,37.66508788618514,25.48362797575967,maze1_seed1_straight.json,4.43842,geometry,1.0112622156836863,swapped,1,6.386478322145606,1,4.52004673855069,0.7000000476837158,minco_fixed,0.9969197388861222,20.06179717366694,variant,straight,maze1_seed1_straight_swapped.json,4.4485,0.13262,0.13262,True
8.836,True,0.6810332864522934,0,True,0,9.470579054926061,3.446128450775077,1.0,21.424790245184482,9.66445181722452,maze1_seed2_dynamic.json,8.82,geometry,1.00107522338635,normal,2,6.0270251342048855,1,3.7313540089535153,0.5196152329444885,single_fixed,0.39428241600403485,32.910400428110236,baseline,dynamic,maze1_seed2_dynamic.json,8.836,8.836,,True
,False,0.6089913964271546,0,False,0,18.769625614739137,4.615912652481766,1.0,28.992493354468746,15.28484078984554,maze1_seed2_dynamic.json,17.490019999999998,geometry,2.5469010114947173,normal,2,7.077407358471025,1,3.2859698916600606,0.5,minco_fixed,0.3228524850006559,57.47117781450923,variant,dynamic,maze1_seed2_dynamic.json,17.49987215699366,2.4232021569936606,2.4232021569936606,True
8.876,True,0.6824922680854797,0,True,0,8.468393955362732,3.355117363294746,1.0,20.135960001081042,9.434143919227882,maze1_seed2_dynamic.json,8.860000000000001,geometry,1.0098880744364267,swapped,2,6.1737564408560806,1,3.705445826084902,0.5830951929092407,single_fixed,0.39344160004412854,32.830109070667206,baseline,dynamic,maze1_seed2_dynamic_swapped.json,8.876,8.876,,True
14.0716,True,0.6403124332427979,0,True,0,17.12744185752988,4.7808766670730565,1.0,27.485295416093475,15.894609776995107,maze1_seed2_dynamic.json,14.07,geometry,0.988653352917711,swapped,2,7.039672530721307,1,3.4858259546712898,0.4582575857639313,minco_fixed,0.38180842495168377,49.045326553917846,variant,dynamic,maze1_seed2_dynamic_swapped.json,14.0716,2.3853937770006803,2.3853937770006803,True
16.7047,True,0.3723886013031006,0,True,0,7.719310946012868,2.2708258607885123,1.0,12.895436769239993,6.897926264462796,maze1_seed2_straight.json,16.68999,geometry,1.010931819270364,normal,2,5.9204945915103835,1,2.055235394542592,0.1414213627576828,single_fixed,0.5830603656989036,34.301768352898534,baseline,straight,maze1_seed2_straight.json,16.7047,0.23452,0.23452,True
,False,0.4104033306241036,0,False,0,9.810512185684791,3.950865605436958,1.0,32.60514488193157,17.332984010973608,maze1_seed2_straight.json,19.98999,geometry,1.957950633685121,normal,2,6.672159124902363,1,3.165252149493467,0.1414213627576828,minco_fixed,0.31609062145439154,63.272999078349926,variant,straight,maze1_seed2_straight.json,20.0,0.21845,0.21845,True
9.0846,True,0.17071068286895752,0,True,0,7.726152455115781,2.919623457005394,1.0,16.212897325162622,9.110293748498373,maze1_seed2_straight.json,9.07998,geometry,0.9950283532544814,swapped,2,5.923155459694857,1,2.7914202392954053,0.1414213627576828,single_fixed,0.7890779241696224,25.346041230345424,baseline,straight,maze1_seed2_straight_swapped.json,9.0846,0.24288,0.24288,True
,False,0.6143421709537507,0,False,0,9.550195182160675,3.6488555551659174,1.0,32.21911104417054,15.718133355130785,maze1_seed2_straight.json,19.989980000000003,geometry,1.7808294832753209,swapped,2,6.962592361593295,1,2.9119113978758127,0.1414213627576828,minco_fixed,0.3435907418153829,58.20879076745484,variant,straight,maze1_seed2_straight_swapped.json,20.0,0.18721,0.18721,True
15.5583,True,0.30000001192092896,0,True,0,7.3840921632215535,2.7081605045163144,1.0,12.77134827342854,6.23831603134304,maze1_seed3_dynamic.json,15.539989999999998,geometry,1.0050515245456266,normal,3,6.348504889389453,1,2.47491019349549,0.17320507764816284,single_fixed,0.4136609454032248,38.45988937154728,baseline,dynamic,maze1_seed3_dynamic.json,15.5583,5.5638421099992605,5.5638421099992605,True
,False,0.5167012631893158,0,False,0,12.775179167859141,4.456030464502895,1.0,40.21087998745603,20.803440462839223,maze1_seed3_dynamic.json,17.49003,geometry,1.2765756576789735,normal,3,7.063736381441987,1,3.4499236011736523,0.17320507764816284,minco_fixed,0.264516962441864,60.33887569585531,variant,dynamic,maze1_seed3_dynamic.json,17.49983210999926,17.49983210999926,,True
13.1365,True,0.25618656352162367,0,True,0,7.474687075947755,2.9256884612807283,1.0,13.674783566318524,6.718888830984771,maze1_seed3_dynamic.json,13.130009999999999,geometry,0.9915355056612519,swapped,3,6.370780006765347,1,2.695534414770361,0.10000000149011612,single_fixed,0.4494066579724772,35.39219321393252,baseline,dynamic,maze1_seed3_dynamic_swapped.json,13.1365,5.568798875999052,5.568798875999052,True
,False,0.4582575857639313,0,False,0,12.991289765691997,4.439951117814768,1.0,41.159796334671356,20.403251480313944,maze1_seed3_dynamic.json,17.48998,geometry,2.6919050934759023,swapped,3,7.103822027432372,1,3.5857607828177245,0.30000001192092896,minco_fixed,0.25458725430582735,62.71470741340657,variant,dynamic,maze1_seed3_dynamic_swapped.json,17.499858875999053,17.499858875999053,,True
4.7519,True,0.8147786051034928,0,True,0,9.31579364444576,3.4070368176046855,1.0,21.80444298304065,11.165448701195979,maze1_seed3_straight.json,4.74998,geometry,0.9902720225730022,normal,3,5.816866291866898,1,4.089749028584119,0.7483315467834473,single_fixed,1.0,19.426172630038835,baseline,straight,maze1_seed3_straight.json,4.7519,0.20058,0.20058,True
4.094,True,0.8306624293327332,0,True,0,18.836859392618805,6.348575680360204,1.0,42.678869580025534,25.359709458303723,maze1_seed3_straight.json,4.079969999999999,geometry,1.0231975602252619,normal,3,6.724804102814455,1,4.730669202905807,0.7483315467834473,minco_fixed,1.0,19.30102759060135,variant,straight,maze1_seed3_straight.json,4.094,0.1769,0.1769,True
4.7963,True,0.8147786051034928,0,True,0,9.349284734725721,3.3855619136548816,1.0,21.409110143405755,11.112858871563086,maze1_seed3_straight.json,4.78001,geometry,1.0072099526614586,swapped,3,5.820430537534853,1,4.05794566780608,0.7483315467834473,single_fixed,1.0,19.39701633001533,baseline,straight,maze1_seed3_straight_swapped.json,4.7963,0.24606,0.24606,True
4.0816,True,0.8306624293327332,0,True,0,18.43633454382466,6.3229688983744206,1.0,42.049520801767315,25.703192523061386,maze1_seed3_straight.json,4.0699700000000005,geometry,1.0230931121819105,swapped,3,6.735890279308757,1,4.746062959046749,0.7483315467834473,minco_fixed,1.0,19.316343524966527,variant,straight,maze1_seed3_straight_swapped.json,4.0816,0.14593,0.14593,True
7.0129,True,0.2502629719674587,0,True,0,9.051417070802886,3.8800678750328825,1.0,17.179907450722357,9.704848155500459,maze1_seed4_dynamic.json,7.01004,geometry,0.9959363473791638,normal,4,5.7540621672587555,1,3.2784325415796465,0.17320507764816284,single_fixed,0.6204030966469014,22.981756064646397,baseline,dynamic,maze1_seed4_dynamic.json,7.0129,1.9350144560003208,1.9350144560003208,True
10.6361,True,0.24652477055788047,1,False,6,17.02240178203758,4.5514204994243475,1.0,48.695136488801715,21.878707044467518,maze1_seed4_dynamic.json,10.63001,geometry,0.9919164039843008,normal,4,6.984807357495362,1,3.4203252358350347,0.10000000149011612,minco_fixed,0.39019560671176884,36.35773029644889,variant,dynamic,maze1_seed4_dynamic.json,10.6361,1.795064456000321,1.795064456000321,True
7.1057,True,0.20907703042030334,0,True,0,9.823702725488973,3.993680503184227,1.0,20.210159487232985,9.887465446461844,maze1_seed4_dynamic.json,7.08999,geometry,1.00953944853019,swapped,4,5.757224208693412,1,3.298274563762535,0.1414213627576828,single_fixed,0.6098772941988646,23.384689025465306,baseline,dynamic,maze1_seed4_dynamic_swapped.json,7.1057,1.9468668239937212,1.9468668239937212,True
,False,0.2828427255153656,1,False,5,19.557849412550176,4.310999578332271,1.0,36.554789784382606,18.756299931435446,maze1_seed4_dynamic.json,17.489990000000002,geometry,1.574214975634104,swapped,4,6.8189141393302135,1,2.9334767350106397,0.10000000149011612,minco_fixed,0.27653901775350603,51.30617191821563,variant,dynamic,maze1_seed4_dynamic_swapped.json,17.49984682399372,1.7858668239937208,1.7858668239937208,True
4.6665,True,0.44386205822229385,0,True,0,9.133295194960619,3.5927080045574313,1.0,26.290150361037185,13.022412060770955,maze1_seed4_straight.json,4.64998,geometry,1.0013857046427215,normal,4,5.906913238995243,1,4.286437247201819,0.30000001192092896,single_fixed,1.0,19.931845451174997,baseline,straight,maze1_seed4_straight.json,4.6665,0.20325,0.20325,True
4.7716,True,0.6225734770298005,0,True,0,13.381106340291542,4.869364514340265,1.0,45.63611941551391,25.968075563548208,maze1_seed4_straight.json,4.76997,geometry,0.9832904795538666,normal,4,6.707157448037729,1,4.324246438727153,0.41231057047843933,minco_fixed,0.9696277334298539,20.62647437817403,variant,straight,maze1_seed4_straight.json,4.7716,0.16693,0.16693,True
4.643,True,0.45209231972694397,0,True,0,8.906447901994778,3.5225552798424054,1.0,27.275463421418074,12.763630274941752,maze1_seed4_straight.json,4.62998,geometry,1.001962124176018,swapped,4,5.899915036374287,1,4.294225562809771,0.22360680997371674,single_fixed,1.0,19.88221806083544,baseline,straight,maze1_seed4_straight_swapped.json,4.643,0.20253,0.20253,True
4.7773,True,0.6430290132761002,0,True,0,13.432075214041312,4.911800347273104,1.0,44.35376230918611,26.52575516471134,maze1_seed4_straight.json,4.76,geometry,1.0019900637807864,swapped,4,6.683840978530811,1,4.332010369871481,0.36055514216423035,minco_fixed,0.9699153730891042,20.620357357837733,variant,straight,maze1_seed4_straight_swapped.json,4.7773,0.18312,0.18312,True
6.2528,True,0.5818180561065673,0,True,0,6.23452009548498,3.8133610037519166,1.0,14.752259692374926,7.956223606247907,maze1_seed5_dynamic.json,6.2500100000000005,geometry,0.9867088502263469,normal,5,6.247105246872959,1,3.9529339759988056,0.36055514216423035,single_fixed,0.6329252407782945,24.70569526582361,baseline,dynamic,maze1_seed5_dynamic.json,6.2528,6.252800000000001,,True
,False,0.5385165214538574,0,False,0,11.514541379877516,4.540857332445985,1.0,48.62133316065432,21.08702627474117,maze1_seed5_dynamic.json,17.49003,geometry,2.1356262278178324,normal,5,7.092128286481094,1,3.1889617521384257,0.44721361994743347,minco_fixed,0.28336018432002025,55.774576105893175,variant,dynamic,maze1_seed5_dynamic.json,17.49984686099924,17.49984686099924,,True
6.2561,True,0.5810418903827668,0,True,0,6.4731646307788555,3.8175380425570005,1.0,13.626544644056041,7.74582198931589,maze1_seed5_dynamic.json,6.239990000000001,geometry,1.0031235299670898,swapped,5,6.16033688817169,1,3.9006082084411737,0.41231057047843933,single_fixed,0.6276659587663909,24.33970335444426,baseline,dynamic,maze1_seed5_dynamic_swapped.json,6.2561,6.2561,,True
,False,0.42067802250385283,0,False,0,11.295469206351601,4.291508414348484,1.0,43.8214402090475,20.434778518869507,maze1_seed5_dynamic.json,17.48998,geometry,3.197081724296614,swapped,5,6.952396868202918,1,3.173832485801622,0.3162277936935425,minco_fixed,0.28485948140645323,55.50996361740332,variant,dynamic,maze1_seed5_dynamic_swapped.json,17.499853382003494,17.499853382003494,,True
8.7546,True,0.5417386412620544,0,True,0,8.90839987140803,2.8450754987654445,1.0,21.190049463357358,10.440237943973374,maze1_seed5_straight.json,8.740029999999999,geometry,1.0017569725951203,normal,5,6.021510138778582,1,2.871461877386352,0.10000000149011612,single_fixed,0.7969216649145474,25.0965715709377,baseline,straight,maze1_seed5_straight.json,8.7546,0.61737,0.61737,True
17.2188,True,0.4242640733718872,0,True,0,16.88157112791762,4.26286045393665,1.0,30.30352490883258,17.037907586296097,maze1_seed5_straight.json,17.218609999999998,geometry,0.9996074475703567,normal,5,6.8611910235122835,1,2.9882293845360333,0.30000001192092896,minco_fixed,0.3887050269343747,51.45290185129312,variant,straight,maze1_seed5_straight.json,17.2188,1.47749,1.47749,True
8.7558,True,0.5774798959493637,0,True,0,9.07766107245324,2.8698745519625977,1.0,22.062108562336576,10.756145769339915,maze1_seed5_straight.json,8.75001,geometry,0.9969704193259086,swapped,5,6.0233561584814055,1,2.8574467540257413,0.17320507764816284,single_fixed,0.799915380837176,25.002646628739512,baseline,straight,maze1_seed5_straight_swapped.json,8.7558,0.6511,0.6511,True
,False,0.36055514216423035,0,False,0,16.711866765222304,4.205573364775108,1.0,30.54766797201062,16.807995225548307,maze1_seed5_straight.json,19.98997,geometry,2.692959926325896,swapped,5,6.873186973557068,1,2.8088430129559128,0.30000001192092896,minco_fixed,0.35619896536739426,56.148398913326496,variant,straight,maze1_seed5_straight_swapped.json,20.0,1.45535,1.45535,True
5.003,True,1.430696189403534,0,True,0,7.228382169745862,3.9768578326167554,1.0,15.467779787840781,8.497137258084628,maze2_seed1_dynamic.json,4.99001,geometry,1.0020477232088343,normal,1,6.205854094955649,2,4.365866915751253,1.2083046436309814,single_fixed,0.7158819523499984,21.785638748270973,baseline,dynamic,maze2_seed1_dynamic.json,5.003,5.003,,True
5.6561,True,1.0236504554748536,0,True,0,10.762891421098168,5.047125889550947,1.0,40.843460752959196,19.432191760349156,maze2_seed1_dynamic.json,5.6400500000000005,geometry,1.0019165188311867,normal,1,7.032943576707946,2,4.305993162428471,0.7211102843284607,minco_fixed,0.6412285402615433,24.285692479272964,variant,dynamic,maze2_seed1_dynamic.json,5.6561,5.6561,,True
5.0163,True,1.4450001060962676,0,True,0,7.293446390800524,3.9723029690984,1.0,15.153411870013839,8.329917581270424,maze2_seed1_dynamic.json,5.00999,geometry,0.997817968910832,swapped,1,6.200738946354124,2,4.352244469389016,1.1704699993133545,single_fixed,0.7154875111491841,21.804714767943363,baseline,dynamic,maze2_seed1_dynamic_swapped.json,5.0163,5.0163,,True
5.6623,True,1.0405118823051454,0,True,0,10.943342168416853,4.99297874126572,1.0,44.036060705532,19.497116167190676,maze2_seed1_dynamic.json,5.65001,geometry,1.0008820714518092,swapped,1,7.014383359936853,2,4.297463283091225,0.632455587387085,minco_fixed,0.6411440431936656,24.280555270387598,variant,dynamic,maze2_seed1_dynamic_swapped.json,5.6623,5.6623,,True
