epoch,eval_acc,eval_altitude,eval_camera,eval_camera_smooth,eval_explore,eval_guide,eval_intent,eval_loss,eval_rank,eval_safety,eval_score,eval_smooth,eval_trajectory,train_acc,train_altitude,train_camera,train_camera_smooth,train_explore,train_guide,train_intent,train_loss,train_rank,train_safety,train_score,train_smooth,train_trajectory
1,57.82275,0.035008523458242416,3.059225674369372e-05,6.118451348738745e-05,0.7368098608016967,0.43210892598628997,1.166110426902771,6.680736933898926,0.0,1.5968633848190308,0.4960231591701508,370.9232,6.184643408966064,57.31411111111111,0.056702250163753826,0.00017605819550485144,0.0003521163910097029,0.8084578225533168,0.4273644502692752,1.2316489806281197,7.343741586303711,0.0,1.6669201775868734,0.7803297631369697,430.4642666666667,6.5630068961249455
2,57.8708,0.024800612376630306,8.878788154834183e-06,1.7757576309668366e-05,0.7142908288002014,0.4111928590297699,1.1565129018783569,6.413184931945801,0.0,1.5312585052490235,0.3881331606626511,370.436,6.025031344604492,57.05158888888889,0.03518926471869151,2.3991435347609997e-05,4.798287069521999e-05,0.7308934702767266,0.417097665280766,1.1624557573742336,6.612229436408149,0.0,1.5748748027589585,0.47986838739713034,375.1072888888889,6.132305867258708
3,59.0188,0.021555143585801125,3.4097156843927225e-06,6.819431368785445e-06,0.7161104671478271,0.3630768803834915,1.1572211393356324,6.314373485565185,0.0,1.4968968643188476,0.37099129774570466,378.6776,5.943374333190918,57.562305555555554,0.030412513767017257,7.215351677425335e-06,1.443070335485067e-05,0.7133808821678161,0.3934816724194421,1.153987633895874,6.449724285125733,0.0,1.5415421439064874,0.4221966127740012,371.4753777777778,6.027511075846355
4,60.22015,0.02146557364910841,9.048441673257912e-07,1.8096883346515825e-06,0.7057851395606994,0.3488913586616516,1.1552108818054199,6.277956060791015,0.0,1.4739672428131103,0.3730901069641113,384.1168,5.90486382598877,57.89951666666666,0.02851395307878653,2.3242102349993525e-06,4.648420469998705e-06,0.7016630379888746,0.379506535993682,1.1481232450061374,6.3490945753309465,0.0,1.5240932192908394,0.38489117306868237,366.45897777777776,5.964198042890761
5,57.54315,0.020504866260290147,1.9201487368718518e-07,3.8402974737437037e-07,0.6710526611328125,0.3649502450942993,1.1320389070510863,6.176158168029785,0.0,1.5220402206420898,0.31576746380329135,348.9516,5.86039023361206,58.25116666666667,0.026693610021471977,6.361090990114664e-07,1.2722181980229328e-06,0.7026435098965963,0.3670809132496516,1.148527400610182,6.283806438106961,0.0,1.5025226011276245,0.3601054111878077,368.2169333333333,5.923699633195665
6,59.05905,0.019743264374136926,1.4545232191949254e-07,2.909046438389851e-07,0.6758796511650086,0.3519855424165726,1.1356073112487792,6.123909323883057,0.0,1.4768840364456177,0.3009337912797928,364.0372,5.822975115203858,58.24118333333333,0.02559651818689373,2.3685906511698503e-07,4.7371813023397006e-07,0.6902942282040914,0.3596229907327228,1.1427143071280585,6.2267082076178655,0.0,1.500492886903551,0.3392648657374912,362.7873333333333,5.8874428625318735
7,60.5691,0.018421745905280115,2.6830303210090277e-08,5.3660606420180553e-08,0.7014964136123657,0.33075070662498474,1.1517132417678833,6.065042834472656,0.0,1.4274097763061524,0.26192665575742724,380.2264,5.803116172027588,58.40206666666667,0.02446012206921975,1.5033724340898717e-07,3.0067448681797434e-07,0.6866027414957683,0.3539467542674806,1.1405725611580744,6.186751318528917,0.0,1.4918665593253242,0.3248628140846888,362.1202222222222,5.861888252597385
8,59.02895,0.020231306120753287,8.333459000198217e-09,1.6666918000396435e-08,0.6868408514022827,0.33018021538257597,1.1423045232772828,6.093779918670655,0.0,1.464425754737854,0.28432607288360595,369.37,5.809453851318359,58.43068888888889,0.02386253588149945,1.2866932297694372e-07,2.5733864595388743e-07,0.6811455370585123,0.34832204191684724,1.1380786992602878,6.148033983866374,0.0,1.4875045792473687,0.3100395891745885,359.20342222222223,5.837994151730007
9,59.14305,0.02022304470986128,3.8433941929838514e-08,7.686788385967703e-08,0.6590496611595154,0.34375103549957275,1.1266444332122802,6.051552423095703,0.0,1.4970385404586792,0.26600720040798187,340.79,5.7855452293396,58.55223888888889,0.023178172296782335,1.2092078376982032e-07,2.4184156753964063e-07,0.6796808939509922,0.34094883836110434,1.1375587944666545,6.117511912027995,0.0,1.4802867628097534,0.2986256511012713,359.5532,5.818886033206516
10,59.65165,0.02034783245921135,9.16545715057282e-10,1.833091430114564e-09,0.6738903021812439,0.32647462322711945,1.1358262796401977,6.039003461456299,0.0,1.4728521968841553,0.2641683129072189,350.2196,5.774835154724121,58.526583333333335,0.022374356782933078,1.2576512341204962e-07,2.5153024682409923e-07,0.676654554409451,0.3388376523282793,1.1357787794325087,6.091995313856337,0.0,1.47602590353224,0.2899014823436737,357.93653333333333,5.802093567827013
11,59.39975,0.0182108022660017,4.818367071113272e-10,9.636734142226544e-10,0.6805881060600281,0.3133093508005142,1.1377298839569092,6.005662754821778,0.0,1.4545024921417236,0.2545642792701721,359.9176,5.751098473358154,58.748133333333335,0.022066056995756096,1.2505775294576873e-07,2.5011550589153745e-07,0.6740080534511143,0.3346462198813756,1.1349295997195774,6.072329012552897,0.0,1.4727510405434503,0.2808173725684484,357.9828888888889,5.791511371951633
12,59.8535,0.018091446493566036,8.300663404497754e-07,1.6601326808995509e-06,0.6695928795814514,0.320931604218483,1.135558032798767,5.979182110595703,0.0,1.4349788988113403,0.24052704274654388,368.1004,5.7386531768798825,58.70585,0.021482387779984208,1.4183828412477462e-07,2.8367656824954925e-07,0.6718306682268779,0.3313328847593731,1.1337487106323243,6.049626690165201,0.0,1.4690170541339451,0.2725394839498732,357.03044444444447,5.7770868999057345
13,59.74545,0.01629923287034035,1.5009504628515913e-09,3.0019009257031825e-09,0.6700126650810242,0.3256455297231674,1.134252229499817,5.992260115814209,0.0,1.4518365568161011,0.2463616694688797,358.7628,5.745898443603515,58.67323888888889,0.021202390508684846,1.0801388194524833e-07,2.1602776389049666e-07,0.668824154970381,0.3273941997289658,1.1328122022840712,6.026689750840929,0.0,1.4654680160310534,0.26347878026167554,356.0885333333333,5.763210739644369
