epoch,eval_acc,eval_altitude,eval_camera,eval_camera_smooth,eval_explore,eval_guide,eval_intent,eval_loss,eval_rank,eval_safety,eval_score,eval_smooth,eval_trajectory,train_acc,train_altitude,train_camera,train_camera_smooth,train_explore,train_guide,train_intent,train_loss,train_rank,train_safety,train_score,train_smooth,train_trajectory
1,57.10405,0.06217640181183815,0.010714408617466689,0.43233305110931397,0.8185985426902771,0.4192419891119003,1.2173697885513306,7.043608226776123,0.0,1.5935597665786743,0.5584414456367492,406.1316,6.398888007354737,56.675022222222225,0.06887153514060709,0.017678186640143395,0.4219219997220569,0.8360697424014409,0.437034458843867,1.2513628833558825,7.689742142910427,0.0,1.722296089829339,0.8686436360094283,432.8984,6.722453823343913
2,56.5118,0.06683591287136077,0.009793174085766077,0.4347331364631653,0.7808345644950867,0.4334195265054703,1.1855514490127563,6.854706823730469,0.0,1.5779341487884522,0.4918368938446045,377.506,6.2780735916137695,56.6298,0.06955455516907903,0.012419938701887925,0.4266723701265123,0.7966894951502482,0.4344487615055508,1.1985150598737928,7.057692655944824,0.0,1.6137023239983452,0.5794951959133148,392.66786666666667,6.389356723022461
3,57.00115,0.05663993998169899,0.00963858469054103,0.4335499342441559,0.7750126624107361,0.41088650839328766,1.1859272745132445,6.743672427368164,0.0,1.5540907503128052,0.4533190924167633,379.1584,6.206043674468994,56.925,0.068625955854853,0.011866241366664568,0.4263564574135674,0.7834579952769809,0.4211496504333284,1.189031818262736,6.901225758361816,0.0,1.5779909819285074,0.5170327042208778,388.5204888888889,6.296507100847032
4,58.85845,0.04318062888085842,0.009184783937036992,0.4338833351135254,0.768417715549469,0.3809739320039749,1.183674367904663,6.573009650421143,0.0,1.495592183303833,0.4062906413793564,387.0092,6.083266942596436,57.03138888888889,0.05793914097613759,0.011502822027852138,0.4266727080874973,0.7617235716713799,0.40431271942456565,1.1766953013737997,6.743303535037571,0.0,1.5553414603339302,0.46996160418457456,382.26666666666665,6.186335378350152
5,58.46295,0.03722532433569431,0.009325760117173195,0.43068716468811036,0.7409891984939575,0.3613295352220535,1.1663360460281371,6.480278485870361,0.0,1.4992301475524903,0.38457769017219545,387.49,6.012446193695069,57.18362222222222,0.04923934479686949,0.011132860830757353,0.42666361219618054,0.742895772351159,0.39269917131529913,1.1666653823216757,6.6176976500617135,0.0,1.538456367195977,0.4305521068970362,377.1213333333333,6.100880275556777
6,58.40315,0.03489015965759754,0.009512046912312508,0.4329096192359924,0.7072989438056946,0.39523385918140413,1.1463511812210083,6.42328829498291,0.0,1.535642901992798,0.36065237197875977,346.296,5.978675366210937,57.41567222222222,0.04385561429593298,0.010910939993460973,0.42686291303104823,0.7286449132389492,0.3822451090574265,1.1595780367745294,6.525995661248101,0.0,1.5282217306560941,0.40077952046924165,371.4168888888889,6.039364823998345
7,58.6611,0.028782592555880546,0.008760847469419242,0.4321429567337036,0.7220520897865296,0.36570115196704867,1.1568366716384888,6.324776454162597,0.0,1.4731028680801392,0.3238997651338577,373.7256,5.918533545684815,57.56202777777778,0.03997011786897977,0.010694718741956684,0.42653709246317545,0.717521996000078,0.37518667933940886,1.153657439804077,6.453975018395318,0.0,1.518982781346639,0.3777381142510308,367.2892,5.990866898345947
8,58.69935,0.027764621429145337,0.008657772978395224,0.4337535285949707,0.7104875783920288,0.3508513294219971,1.1499431074142457,6.273652583312988,0.0,1.4825485471725464,0.3091816714525223,363.534,5.882092330932617,57.764383333333335,0.03748629767662949,0.010519089462525315,0.4261923432456122,0.7117241028467814,0.36893687983618845,1.1509682453155519,6.407969214630127,0.0,1.5097443716896906,0.3628922333796819,366.8929777777778,5.960109945848253
9,59.5064,0.03075935299396515,0.008652083139121532,0.4319924228191376,0.7028004378318786,0.360789860868454,1.1453681564331055,6.332880950927734,0.0,1.498740696144104,0.33956240248680114,361.9072,5.911215531921386,57.790461111111114,0.035700610911515024,0.010355317614972591,0.4262255009704166,0.7013353786150615,0.3648745234092077,1.146032016075982,6.3618070432027185,0.0,1.5092124222225614,0.34588365427652995,361.9594666666667,5.931278931681315
10,58.607,0.022993853080272676,0.008111162138730288,0.43699820423126223,0.6948633647918702,0.35552817788124086,1.1418470485687255,6.207359495544433,0.0,1.4700459009170532,0.288784392952919,362.5376,5.836803051757813,57.92702222222222,0.03352110060983234,0.01026067037963205,0.4259918895456526,0.7014537649578518,0.36035259171326955,1.145692831908332,6.327386574808757,0.0,1.4988953457726373,0.33489117912451427,361.9656888888889,5.908075271267361
